bloco;y;x;id;vulgar;cient;familia;nome;classif;c7;c10;c13;c16;coordx;coordy;fuste7;fuste10;fuste13;st7;st10;st13;fito7;fito10;fito13;copa7;copa10;copa13;obs
F9;9,2;1,5;F9/13B;Cedro;Cedrela fissilis Vell.;Meliaceae;Cedfis;P;62,3;74,29999999;81;87,5;677001,5;7184509,2;2;2;2;3;3;2;3;3;3;3;3;3;
H7;37;32;H7/111A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;40,39999999;43,4;44,69999999;48,80000001;677132;7184437;1;1;2;3;3;2;3;5;3;3;3;2;
H7;27,5;1;H7/18A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;33,50000001;33,50000001;;;677101;7184427,5;1;;;2;;;1;4;4;1;;;
D4;5,7;12;D4/73A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;51,79999999;52,59999999;55,30000001;55,49999999;676912;7184255,7;2;42;;3;2;2;2;3;3;2;3;3;
E8;35,4;19;E8/35A;Pau-amargo;Picrasma crenata (Vell.) Engl.;Simaroubaceae;Piccre;Si;64,09999999;;;;676969;7184485,4;42;;;2;;;3;;;1;;;
E6;31,9;28;E6/107A;Vassourão preto;Piptocarpha axillaris (Less.) Baker;Asteraceae;Pipaxi;P;64,99999999;68,20000001;68,30000001;;676978;7184381,9;3;3;;3;2;2;;;35;3;3;2;
C5;28;49;C5/19A;Embauvarana;Oreopanax fulvus Marchal;Araliaceae;Oreful;C;47,1;47,7;48,4;48,99999999;676899;7184328;3;3;;2;1;2;3;3;3;3;3;3;
G7;34;45;G7/193A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;82,10000001;84,6;87,70000001;90,00000001;677095;7184434;4;4;42;3;3;3;2;25;35;3;3;3;
E4;16,5;42;E4/164A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;61,5;64,89999999;68,1;71,10000001;676992;7184266,5;3;3;;3;2;2;2;5;35;2;3;3;
F8;35,9;8;F8/33A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;36,9;38,70000001;41,2;44,59999999;677008;7184485,9;2;42;2;3;3;2;3;3;3;3;3;3;
H2;36,9;49;H2/172A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;34,20000001;34,8;34;;677149;7184186,9;1;1;41;3;3;1;3;3;3;2;2;2;
F9;5,5;45;F9/158A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;83,50000001;92,7;103,8;117,3;677045;7184505,5;3;3;2;3;3;3;3;3;3;3;3;3;
D7;5,2;27;D7/59A;Canela-amarela;Nectandra lanceolata Nees;Lauraceae;Neclan;Si;87,29999999;92,80000001;99,59999999;105;676927;7184405,2;3;3;;3;3;2;3;3;3;3;3;3;
D8;5,5;10;D8/4A;Vassourão preto;Piptocarpha axillaris (Less.) Baker;Asteraceae;Pipaxi;P;65,50000002;68,90000001;69,60000001;69,60000001;676910;7184455,5;1;41;;3;1;1;3;3;35;2;2;2;
G4;28,6;35;G4/125A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;32,99999999;32,99999999;32,99999999;32,99999999;677085;7184278,6;2;2;2;2;2;1;3;35;35;2;2;2;
F8;15,5;7;F8/16A;Jacarandá cipó;Machaerium brasiliense Vogel;Fabaceae;Macbra;Si;40,19999999;45,20000001;46,60000001;48,00000001;677007;7184465,5;1;1;1;3;3;2;3;3;3;3;3;3;
G4;30,3;21;G4/83A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;52;52,9;53,10000001;55,30000001;677071;7184280,3;2;2;1;2;2;2;3;3;5;1;1;3;
E6;40,9;17;E6/42A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;33,3;33,89999999;33,50000001;34;676967;7184390,9;3;2;;3;2;2;1;3;3;3;2;2;
E5;44,3;19,5;E5/28A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;72,50000001;71;72,19999999;72,19999999;676969,5;7184344,3;1;41;;2;2;2;2;5;3;2;2;2;
E6;12,1;45;E6/188A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;219,5;229;238,5;244,7;676995;7184362,1;3;3;;3;3;3;2;3;3;3;3;3;
E3;34,1;13,5;E3/36A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;72,79999999;73,69999999;74,00000001;74,6;676963,5;7184234,1;2;2;;3;2;2;3;5;2;3;2;2;
B6;16,2;32;B6/137A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;41,40000001;41,40000001;42,8;43,4;676832;7184366,2;1;1;;1;1;1;;;3;1;1;3;
C6;12,6;9,8;C6/29A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;60,49999999;63;;;676859,8;7184362,6;3;3;;3;2;;3;3;4;3;3;;
G2;41,5;7;G2/24B;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;34,49999999;34,49999999;;;677057;7184191,5;1;1;;1;1;;3;4;4;1;1;;
E2;11;39,7;E2/89A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;;;;34,49999999;676989,7;7184161;;;;;;;;;;;;;
B6;17,2;22,5;B6/76A;Mamica-de-cadela;Zanthoxylum rhoifolium Lam.;Rutaceae;Zanrho;Si;42,49999999;42,49999999;;;676822,5;7184367,2;2;4;;2;2;;2;5;4;1;2;;
B6;14,2;40,2;B6/162A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;55,7;60,49999999;64,29999999;67,3;676840,2;7184364,2;1;2;;3;2;2;3;3;3;2;3;3;
I3;19;9,3;I3/99A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;;;32,20000002;35,99999999;677159,3;7184219;;;1;;;2;;;1;;;2;
I3;2,5;43,5;I3/76A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;74,5;74,5;;;677193,5;7184202,5;3;;;3;;;1;4;4;1;;;
B7;7,4;21,5;B7/37A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;158,5;166,4;172,5;173,5;676821,5;7184407,4;3;3;;3;3;3;3;3;3;3;3;3;
F8;31,1;33,5;F8/258A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;33,50000001;36,69999999;39,7;677033,5;7184481,1;;3;42;;2;2;;3;3;;1;3;
G2;7,5;49,5;G2/129A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;66,29999999;73,49999999;74,29999999;;677099,5;7184157,5;2;3;3;3;3;3;3;3;3;3;3;3;
I5;29,6;2,5;I5/18A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;64,5;67,2;71;74,29999999;677152,5;7184329,6;3;3;2;3;3;2;2;5;3;2;2;3;
I3;50;19,5;I3/28B;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;49,3;55,49999999;61,5;67,3;677169,5;7184250;1;1;1;3;3;2;3;3;3;3;3;3;
D10;6,5;23;D10/29A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;34,7;41,3;46,50000001;49,9;676923;7184556,5;1;4;;2;1;1;2;5;35;2;2;2;
G2;37,1;18;G2/32B;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;40,5;40,5;40,80000001;41,2;677068;7184187,1;1;1;43;2;2;1;3;3;35;2;2;2;
I4;12,3;12;I4/71A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;35,10000002;39,9;45,7;51,09999999;677162;7184262,3;2;2;2;2;2;2;3;5;3;3;3;3;
D8;38,4;39;D8/104A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;33,89999999;34,39999999;34,49999999;34,7;676939;7184488,4;3;4;;2;1;1;3;3;3;2;2;2;
I7;6,1;17;I7/72A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;47,59999999;51,00000001;54,09999999;57,50000001;677167;7184406,1;1;1;1;3;3;1;3;3;3;3;3;3;
C5;14,6;39,5;C5/55A;Sapopema;Sloanea lasiocoma K.Schum.;Elaeocarpaceae;Slolas;C;72,89999999;73;73,49999999;76;676889,5;7184314,6;1;42;;2;2;2;1;5;3;2;2;2;
B6;32,7;36,5;B6/124A;Canela;Ocotea bicolor Vattimo-Gil;Lauraceae;Ocobic;St;88,60000001;89,20000001;89,20000001;89,39999998;676836,5;7184382,7;3;41;;3;2;2;1;5;3;2;1;3;
F6;45;3,5;F6/31A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;60,30000001;63,90000001;68,1;74,00000001;677003,5;7184395;3;3;42;3;3;2;3;3;3;3;3;3;
I7;47,7;14,7;I7/96A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;;33,50000001;41,40000001;47,7;677164,7;7184447,7;;2;2;;3;2;;2;3;;2;3;
J4;48,9;9,6;J4/43A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;57,69999999;57,69999999;57,40000001;57,69999999;677209,6;7184298,9;3;3;2;1;1;1;2;2;3;1;1;1;
J4;8,5;16;J4/101A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;48,00000001;60,20000001;67,50000001;73,59999999;677216;7184258,5;2;2;1;3;3;2;2;2;35;2;2;3;
F7;17,8;21,8;F7/128A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;146,1;147,5;162,5;162,5;677021,8;7184417,8;2;2;3;2;2;3;3;3;3;3;3;3;
E9;30;35;E9/136A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;35,5;37;39,30000001;42;676985;7184530;2;2;;2;2;2;3;3;3;3;3;3;
E7;35,8;30,3;E7/136A;Guavirova-de-porco;Campomanesia guaviroba (DC.) Kiaersk.;Myrtaceae;Camgua;St;49,79999999;51,09999999;53,29999999;55,8;676980,3;7184435,8;2;1;;3;2;2;2;2;3;3;2;3;
H8;2,1;19;H8/64A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;39,1;40,10000001;40,19999999;40,39999999;677119;7184452,1;2;2;2;3;3;2;2;2;3;2;2;3;
H7;15,2;46;H7/139A;Cedro;Cedrela fissilis Vell.;Meliaceae;Cedfis;P;86,49999998;95,90000002;101,7;105,1;677146;7184415,2;2;2;2;3;3;2;3;5;3;3;3;3;
A6;29,8;41;A6/129A;Canela-amarela;Nectandra lanceolata Nees;Lauraceae;Neclan;Si;;36,69999999;41,40000001;45,99999999;676791;7184379,8;;1;;;2;2;;3;3;;2;3;
F1;27,8;22,5;F1/49B;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;44,1;49,40000001;52,9;54,40000001;677022,5;7184127,8;41;41;41;3;2;2;3;2;2;2;2;2;
G7;46,5;10,2;G7/46A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;37,80000001;41,2;44,30000001;48,5;677060,2;7184446,5;2;2;2;3;3;2;3;3;3;2;2;3;
I4;4,5;33,5;I4/174A;Mamica-de-cadela;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;Rutaceae;Zankle;Si;47;47,20000001;47,7;48,29999999;677183,5;7184254,5;1;1;1;1;1;1;1;1;1;1;1;14;
D4;26,3;14;D4/64A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;33,3;37,20000001;40,39999999;40,70000001;676914;7184276,3;1;2;;3;2;1;2;3;3;3;3;3;
C5;5,1;43,5;C5/6A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;41,3;41,79999999;42,90000001;45,00000001;676893,5;7184305,1;1;2;;2;1;1;3;3;3;2;2;3;
F7;25,4;0,5;F7/26A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;45,10000001;45,90000001;46,19999999;46,19999999;677000,5;7184425,4;2;2;42;2;2;2;3;3;35;3;3;2;
B4;33;30;B4/153A;Citronela gangonha;Citronella gongonha (Mart.) R.A.Howard;Cardiopteridaceae;Citgon;Si;;;34,8;41,09999999;676830;7184283;;;42;;;1;;;35;;;2;
F6;33,6;20;F6/51A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;47;52;56,5;62,9;677020;7184383,6;4;4;4;3;3;3;3;3;35;3;3;3;
H5;12,1;12;H5/68A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;128,5;132,5;135;139;677112;7184312,1;2;2;43;3;3;2;1;5;35;3;3;3;
E7;3,7;25,5;E7/86A;Jacarandá cipó;Machaerium brasiliense Vogel;Fabaceae;Macbra;Si;31,69999999;31,69999999;33,4;;676975,5;7184403,7;1;2;;1;1;1;3;3;2;1;2;2;
A6;14,3;25;A6/97A;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;82,19999999;87,10000001;90,29999999;92,49999999;676775;7184364,3;1;1;;3;2;2;3;3;35;3;2;3;
E7;19,3;2,5;E7/17A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;38,70000001;40,70000001;40,89999998;42;676952,5;7184419,3;2;1;;2;2;2;3;3;3;3;3;3;
J4;37;8;J4/41A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;45,20000001;47,49999999;48,99999999;49,40000001;677208;7184287;2;2;1;2;2;2;3;3;3;2;2;3;
G8;1,3;21;G8/91A;Pimenteira;Cinnamodendron dinisii Schwacke;Canellaceae;Cindin;P;43,79999998;51,4;58,20000001;63,49999999;677071;7184451,3;3;3;2;1;1;2;3;3;35;3;3;3;
E7;29,4;16;E7/52A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;72,00000001;79,7;85,89999999;93,70000001;676966;7184429,4;2;2;;3;2;3;3;5;3;3;3;3;
D9;20,1;27;D9/54A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;53,00000001;56,60000001;58,80000001;58,80000001;676927;7184520,1;1;41;;3;2;2;3;3;3;3;2;2;
E6;29,2;28,5;E6/106A;Cedro;Cedrela fissilis Vell.;Meliaceae;Cedfis;P;32,99999999;32,99999999;32,90000001;;676978,5;7184379,2;2;2;;1;1;1;;;1;2;2;14;
E5;28,5;26;E5/82A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;41,50000001;44,40000001;46,4;50,20000001;676976;7184328,5;1;3;;2;2;2;3;3;3;2;3;3;
H4;37;10;H4/24A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;53,29999999;53,29999999;;;677110;7184287;3;;;3;;;3;4;4;3;;;
E9;1,5;17;E9/173B;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;33,50000001;33,50000001;33,89999999;33,89999999;676967;7184501,5;1;2;;1;2;1;1;5;35;1;2;3;
E6;14,3;45;E6/192A;Guavirova-de-porco;Campomanesia guaviroba (DC.) Kiaersk.;Myrtaceae;Camgua;St;39,8;41,79999999;45,80000001;48,70000001;676995;7184364,3;2;42;;2;2;1;3;3;3;3;3;3;
D8;14,9;26;D8/63A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;40,70000001;41,40000001;42,49999999;43,99999999;676926;7184464,9;3;3;;2;2;2;3;3;35;1;2;2;
G1;43;23,5;G1/48A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;;;36,3;46,60000001;677073,5;7184143;;;2;;;3;;;3;;;3;
I1;45;3;I1/3A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;37;42,20000001;46,3;49,2;677153;7184145;2;2;1;2;2;2;1;1;35;2;2;3;
C4;12;23;C4/114A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;;;42,7;44,40000001;676873;7184262;;;;;;2;;;35;;;3;
E8;3,1;0,5;E8/1A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;73;75,2;76,20000001;77,99999999;676950,5;7184453,1;3;41;;3;2;2;3;2;3;3;3;3;
I5;0,8;10,3;I5/53A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;51,89999999;52;52,2;52,59999999;677160,3;7184300,8;2;2;2;2;2;2;3;3;3;2;2;3;
I4;16,2;28,5;I4/94A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;45,20000001;45,80000001;46,4;46,89999999;677178,5;7184266,2;1;1;2;2;2;2;3;3;3;2;2;3;
B7;1,6;35;B7/39B;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;33,89999999;34;34;34;676835;7184401,6;1;2;;1;1;2;2;1;3;2;2;3;
I5;17,7;1,2;I5/163A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;;31,69999999;31,69999999;677151,2;7184317,7;;;2;;;2;;;35;;;2;
G2;12,6;44;G2/131A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;33,2;34,30000001;34,59999999;34,59999999;677094;7184162,6;2;2;41;1;2;1;3;3;3;2;3;1;
D3;31,7;0;D3/8A;Jacarandá cipó;Machaerium brasiliense Vogel;Fabaceae;Macbra;Si;39,7;42;46,89999999;50,80000001;676900;7184231,7;2;1;;1;2;1;2;1;35;2;2;2;
E4;1,1;7;E4/3A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;145,6;145,6;146,6;147;676957;7184251,1;2;41;;3;2;1;1;5;3;2;3;1;
G5;10,1;41,2;G5/140A;Mamica-de-cadela;Zanthoxylum rhoifolium Lam.;Rutaceae;Zanrho;Si;41,50000001;47,59999999;52,2;55;677091,2;7184310,1;2;2;2;3;3;2;3;35;35;3;3;3;
E3;6,9;18;E3/62A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;50,6;50,6;52,40000001;53,5;676968;7184206,9;1;2;;2;2;2;3;3;3;2;2;3;
E3;39,9;29;E3/202A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;;;37,49999999;42,39999999;676979;7184239,9;;;2;;;2;;;3;;;3;
J5;8,1;15;J5/30B;Capororoca;Myrsine gardneriana A.DC.;Primulaceae;Myrgar;P;33,4;33,89999999;35,29999999;36,50000001;677215;7184308,1;1;1;1;2;2;2;3;3;3;2;2;2;
F7;4;29,5;F7/116A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;91,2;96,50000001;;;677029,5;7184404;43;43;;3;3;;3;3;4;3;3;;
H2;5,4;4;H2/3A;Guaraperê;Lamanonia ternata Vell.;Cunoniaceae;Lamter;P;47;53,39999999;61,99999999;65,69999999;677104;7184155,4;2;2;1;3;3;3;3;3;3;3;3;3;
B6;23,5;7;B6/21A;Vassourão preto;Piptocarpha axillaris (Less.) Baker;Asteraceae;Pipaxi;P;42,39999999;42,39999999;;;676807;7184373,5;1;2;;3;2;;3;3;4;3;2;;Morta
B3;49;38,3;B3/194A;Jacarandá cipó;Machaerium brasiliense Vogel;Fabaceae;Macbra;Si;39,40000001;46,09999999;51,09999999;58,10000001;676838,3;7184249;3;4;;2;2;2;3;5;3;3;2;3;
D4;7,3;9;D4/6A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;39,49999999;43,70000001;48,19999999;52,40000001;676909;7184257,3;1;2;;2;2;2;3;5;3;2;2;3;
F7;29,5;22,7;F7/139A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;31,8;31,8;31,69999999;31,9;677022,7;7184429,5;2;2;42;1;1;2;3;3;3;2;2;2;
D3;31,4;12;D3/43A;Pessegueiro-bravo;Prunus brasiliensis (Cham. & Schltdl.) D.Dietr.;Rosaceae;Prubra;Si;73,8;82,00000001;87,5;88,4;676912;7184231,4;43;1;;3;2;2;3;3;35;3;3;3;
G4;27,5;9,8;G4/206A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;;;32,5;34;677059,8;7184277,5;;;2;;;1;;;3;;;3;
G6;27,1;20,5;G6/92A;Sapopema;Sloanea lasiocoma K.Schum.;Elaeocarpaceae;Slolas;C;201,5;202,5;204;204;677070,5;7184377,1;4;4;42;3;3;3;3;35;35;2;2;3;
H5;40,9;5,5;H5/30A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;58,7;60,20000001;61,5;63,49999999;677105,5;7184340,9;41;41;2;3;3;2;3;3;3;3;3;3;
E9;24;3;E9/14A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;49,40000001;51,5;53,70000001;55,7;676953;7184524;3;2;;2;2;2;3;3;3;3;3;3;
B6;3,9;16,5;B6/60A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;61,19999999;61,89999998;62,40000001;63,6;676816,5;7184353,9;2;3;;3;2;2;3;3;35;3;3;3;
I3;50;19,5;I3/28B;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;49,3;55,49999999;61,5;67,3;677169,5;7184250;1;1;1;3;3;2;3;3;3;3;3;3;
G4;13,5;35,5;G4/141A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;40,99999999;41,3;41,40000001;41,40000001;677085,5;7184263,5;2;2;42;3;3;2;3;3;3;2;2;3;
I5;41,3;29,8;I5/71A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;35,00000001;35,99999999;36,1;36,69999999;677179,8;7184341,3;2;2;42;1;1;2;3;3;3;2;2;3;
I6;35;4,5;I6/19A;Ariticum;Annona rugulosa (Schltdl.) H.Rainer;Annonaceae;Annrug;P;53,80000001;54,9;55,30000001;55,90000001;677154,5;7184385;1;1;2;3;3;2;3;3;3;3;3;3;
E7;39,5;41;E7/211A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;40,10000001;43,4;45,90000001;51,4;676991;7184439,5;2;1;;2;1;2;3;3;35;3;2;3;
D7;46,3;39,5;D7/95A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;37,80000001;38,79999999;40,00000001;40,00000001;676939,5;7184446,3;2;2;;1;1;1;3;3;3;2;2;24;
E6;1,6;45;E6/179A;Canela de raposa;Styrax leprosus Hook. & Arn.;Styracaceae;Stylep;Si;36,69999999;39,30000001;44,30000001;49,79999999;676995;7184351,6;2;3;;2;2;2;3;3;3;3;3;3;
B7;15,1;39;B7/46A;Canela;Ocotea bicolor Vattimo-Gil;Lauraceae;Ocobic;St;41,69999999;49,79999999;;;676839;7184415,1;2;3;;3;2;;1;1;4;3;3;;
I3;12,1;7;I3/4A;Coração de bugre;Maytenus evonymoides Reissek;Celastraceae;Mayevo;St;48,80000001;49,79999999;48,80000001;49,40000001;677157;7184212,1;3;3;42;2;2;2;3;2;15;3;3;2;
E9;21,7;35;E9/126B;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;;35,70000001;35,4;41,9;676985;7184521,7;;1;;;2;1;;3;35;;3;2;
F8;6,6;44,9;F8/199A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;42,8;43,00000001;43,5;44,2;677044,9;7184456,6;1;1;2;3;3;2;3;3;35;2;2;2;
G4;21,8;35;G4/135A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;66,5;78,50000001;80,79999999;82,70000001;677085;7184271,8;2;1;42;3;3;3;3;3;35;2;2;3;
C4;3;24;C4/103A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;;;52,59999999;53,80000001;676874;7184253;;;;;;2;;;25;;;2;
H4;10,9;33;H4/134A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;47,49999999;50,10000001;52,69999999;54,2;677133;7184260,9;2;2;2;3;3;2;2;5;3;3;3;3;
F4;33,5;10,8;F4/50A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;128,7;130,4;130,4;134;677010,8;7184283,5;3;3;4;3;3;3;2;35;5;3;3;3;
F3;40,3;28;F3/87A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;53,5;58;60,7;63,10000001;677028;7184240,3;3;3;2;2;2;2;3;3;3;3;3;3;
G9;14,5;14;G9/34A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;43,89999999;48,6;54,50000001;59,79999999;677064;7184514,5;3;3;43;2;2;3;3;3;3;3;3;3;
D8;39,3;28,5;D8/78A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;168,5;173,7;182,8;186;676928,5;7184489,3;3;3;;3;3;3;3;5;3;3;3;3;
F8;20,8;28,5;F8/109A;Dasyphyllum brasiliense;Dasyphyllum brasiliense (Spreng.) Cabrera;Asteraceae;Dasbra;P;60,49999999;60,49999999;;;677028,5;7184470,8;41;41;;2;2;;3;4;;1;1;;
G3;12,9;43;G3/139A;Duranta vestita;Duranta vestita Cham.;Verbenaceae;Durves;P;33,09999999;35,10000002;;;677093;7184212,9;1;1;;2;2;;1;4;4;2;2;;
F1;33,4;45;F1/8A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;53,29999999;58,39999999;65,59999999;69,5;677045;7184133,4;1;1;1;3;3;2;3;3;3;1;3;3;
H6;37,5;32;H6/130A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;40,80000001;41,79999999;43,99999999;45,99999999;677132;7184387,5;1;1;41;2;2;2;3;3;3;3;3;3;
D9;43,2;26;D9/73A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;45,7;50,80000001;57,30000001;62,40000001;676926;7184543,2;1;2;;3;2;2;3;3;3;2;2;2;
F8;2,2;13,5;F8/85A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;40,00000001;40,6;;;677013,5;7184452,2;4;4;;3;3;;3;3;4;3;3;;
D3;26,2;21;D3/49A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;59,89999999;60;60,30000001;;676921;7184226,2;42;4;;1;1;1;2;5;25;2;1;1;
D4;47,3;48;D4/190A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;40,19999999;42,39999999;;;676948;7184297,3;2;3;;2;2;;3;5;4;3;3;;
D10;6,5;23;D10/29A;Canema;Solanum sanctae-catharinae Dunal;Solanaceae;Solsan;P;34,7;41,3;46,50000001;49,9;676923;7184556,5;1;4;;2;1;1;2;5;35;2;2;2;
G8;36,2;25,5;G8/125A;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;44,69999999;44,69999999;;;677075,5;7184486,2;42;42;;1;1;;3;4;4;1;1;;
H5;32,3;21;H5/94A;Canela-de-espinho;Scutia buxifolia Reissek;Rhamnaceae;Scubux;C;72,60000001;72,79999999;73,8;74,70000001;677121;7184332,3;3;3;42;3;3;3;1;5;35;3;2;3;
